Topology,Algorithm,Average Tried Requests,Average Unique Query Hits,Average Success Rate,Redundant Query Hits,Average Hops,Average Latency,Average Total Work,Average Wasted Requests,Average Query Hit Efficiency,Count of Zero Work Done Nodes
cluster_6_with_4_nodes_each-all,NF,1.9,1.0,100%,0%,1.8,1.18×10⁻²,34.5,40%,6%,9.9
cluster_6_with_4_nodes_each-all,RW,2.7,0.9,95%,2%,1.7,1.14×10⁻²,44.9,42%,6%,9.9
cluster_6_with_4_nodes_each-disabled,F,1.0,1.0,100%,0%,1.0,8.32×10⁻³,40.0,52%,4%,2.0
cluster_6_with_4_nodes_each-disabled,NF,3.1,0.7,65%,0%,1.1,8.74×10⁻³,37.4,37%,2%,8.2
cluster_6_with_4_nodes_each-disabled,RW,3.4,0.7,70%,0%,1.3,9.37×10⁻³,44.2,37%,2%,7.2
megagraph_3_clusters-all,F,1.0,1.0,100%,0%,2.0,1.24×10⁻²,69.0,26%,4%,0.0
megagraph_3_clusters-all,NF,3.8,0.6,55%,0%,2.8,1.57×10⁻²,62.0,37%,2%,28.2
megagraph_3_clusters-all,RW,3.6,0.7,65%,0%,2.7,1.54×10⁻²,81.4,40%,2%,25.1
megagraph_3_clusters-disabled,F,1.0,1.0,100%,0%,2.0,1.25×10⁻²,52.0,22%,4%,5.0
megagraph_3_clusters-disabled,NF,4.2,0.6,55%,0%,2.6,1.50×10⁻²,49.0,25%,2%,25.1
megagraph_3_clusters-disabled,RW,3.8,0.6,60%,7%,2.8,1.53×10⁻²,62.3,25%,2%,23.9
megagraph_5_clusters-all,F,1.0,1.0,100%,0%,2.0,1.26×10⁻²,315.0,34%,0%,0.0
megagraph_5_clusters-all,NF,4.9,0.1,10%,0%,2.0,1.34×10⁻²,108.6,17%,0%,186.5
megagraph_5_clusters-all,RW,4.7,0.2,20%,0%,2.8,1.61×10⁻²,163.6,23%,0%,170.7
megagraph_5_clusters-disabled,F,1.0,1.0,100%,0%,2.0,1.27×10⁻²,185.0,22%,0%,57.0
megagraph_5_clusters-disabled,NF,5.0,0.1,5%,0%,2.0,1.15×10⁻²,69.9,10%,0%,157.8
megagraph_5_clusters-disabled,RW,4.8,0.1,15%,0%,2.0,1.35×10⁻²,105.7,13%,0%,148.6
tree_with_10_nodes-all,F,1.0,1.0,100%,0%,2.0,9.99×10⁻³,16.0,25%,25%,0.0
tree_with_10_nodes-all,NF,2.9,0.9,95%,0%,2.0,1.01×10⁻²,15.2,17%,20%,3.6
tree_with_10_nodes-all,RW,3.6,0.8,75%,0%,2.0,1.00×10⁻²,15.7,22%,16%,2.7
tree_with_10_nodes-disabled,F,1.0,1.0,100%,0%,2.0,9.99×10⁻³,16.0,25%,25%,0.0
tree_with_10_nodes-disabled,NF,2.9,0.8,85%,0%,2.0,1.01×10⁻²,14.3,16%,18%,3.6
tree_with_10_nodes-disabled,RW,3.7,0.7,70%,0%,2.0,1.00×10⁻²,16.4,23%,13%,2.9
tree_with_20_nodes-all,F,2.0,1.0,100%,0%,3.0,1.35×10⁻²,53.0,31%,11%,0.0
tree_with_20_nodes-all,NF,4.7,0.3,30%,0%,3.0,1.37×10⁻²,27.1,29%,3%,8.1
tree_with_20_nodes-all,RW,3.4,0.7,65%,0%,3.0,1.36×10⁻²,36.2,23%,7%,8.2
tree_with_20_nodes-disabled,F,2.0,1.0,100%,0%,3.0,1.36×10⁻²,53.0,31%,11%,0.0
tree_with_20_nodes-disabled,NF,4.2,0.5,50%,0%,3.0,1.37×10⁻²,26.4,23%,6%,9.6
tree_with_20_nodes-disabled,RW,4.2,0.6,60%,2%,3.0,1.36×10⁻²,45.2,26%,6%,7.0
tree_with_30_nodes-all,F,2.0,1.0,100%,0%,3.0,1.38×10⁻²,68.0,29%,7%,0.0
tree_with_30_nodes-all,NF,4.5,0.3,30%,0%,3.0,1.39×10⁻²,31.4,24%,2%,16.4
tree_with_30_nodes-all,RW,3.8,0.8,85%,7%,3.0,1.39×10⁻²,71.8,29%,5%,11.3
tree_with_30_nodes-disabled,F,2.0,1.0,100%,0%,3.0,1.38×10⁻²,68.0,29%,7%,0.0
tree_with_30_nodes-disabled,NF,4.3,0.5,50%,0%,3.0,1.39×10⁻²,30.9,20%,4%,18.0
tree_with_30_nodes-disabled,RW,3.4,0.8,85%,0%,3.0,1.39×10⁻²,62.6,27%,5%,12.6
tree_with_40_nodes-all,F,2.0,1.0,100%,0%,4.0,1.75×10⁻²,85.0,32%,7%,0.0
tree_with_40_nodes-all,NF,4.8,0.2,25%,0%,4.0,1.77×10⁻²,35.1,21%,1%,24.8
tree_with_40_nodes-all,RW,4.5,0.3,35%,0%,4.0,1.76×10⁻²,90.2,31%,2%,16.2
tree_with_40_nodes-disabled,F,2.0,1.0,100%,0%,4.0,1.75×10⁻²,85.0,32%,7%,0.0
tree_with_40_nodes-disabled,NF,4.6,0.3,30%,0%,4.0,1.77×10⁻²,34.5,19%,2%,26.0
tree_with_40_nodes-disabled,RW,4.0,0.6,60%,11%,4.0,1.77×10⁻²,83.0,27%,4%,18.2
tree_with_50_nodes-all,F,2.0,1.0,100%,0%,4.0,1.78×10⁻²,100.0,35%,6%,0.0
tree_with_50_nodes-all,NF,4.5,0.3,30%,0%,4.0,1.80×10⁻²,37.2,19%,2%,33.5
tree_with_50_nodes-all,RW,3.9,0.6,55%,0%,4.0,1.80×10⁻²,84.8,25%,3%,25.9
tree_with_50_nodes-disabled,F,2.0,1.0,100%,0%,4.0,1.78×10⁻²,100.0,35%,6%,0.0
tree_with_50_nodes-disabled,NF,4.6,0.2,25%,0%,4.0,1.80×10⁻²,37.0,19%,1%,33.7
tree_with_50_nodes-disabled,RW,4.2,0.6,60%,0%,4.0,1.79×10⁻²,92.0,28%,2%,24.6
tree_with_60_nodes-all,F,2.0,1.0,100%,0%,4.0,1.81×10⁻²,115.0,38%,5%,0.0
tree_with_60_nodes-all,NF,4.5,0.2,25%,0%,4.0,1.83×10⁻²,38.2,17%,1%,43.2
tree_with_60_nodes-all,RW,3.5,0.6,60%,2%,4.0,1.82×10⁻²,81.6,22%,3%,35.8
tree_with_60_nodes-disabled,F,2.0,1.0,100%,0%,4.0,1.81×10⁻²,115.0,38%,5%,0.0
tree_with_60_nodes-disabled,NF,4.2,0.3,35%,0%,4.0,1.83×10⁻²,36.4,15%,1%,44.2
tree_with_60_nodes-disabled,RW,3.9,0.7,65%,0%,4.0,1.82×10⁻²,90.8,25%,2%,33.2
tree_with_70_nodes-all,F,2.0,1.0,100%,0%,5.0,2.27×10⁻²,132.0,38%,5%,0.0
tree_with_70_nodes-all,NF,4.8,0.1,10%,0%,5.0,2.29×10⁻²,41.1,16%,0%,52.0
tree_with_70_nodes-all,RW,4.7,0.2,25%,0%,5.0,2.28×10⁻²,111.9,28%,1%,38.0
tree_with_70_nodes-disabled,F,2.0,1.0,100%,0%,5.0,2.27×10⁻²,132.0,38%,5%,0.0
tree_with_70_nodes-disabled,NF,5.0,0.1,10%,0%,5.0,2.29×10⁻²,42.9,16%,0%,51.6
tree_with_70_nodes-disabled,RW,4.8,0.1,15%,0%,5.0,2.28×10⁻²,116.1,29%,0%,36.8
tree_with_80_nodes-all,F,2.0,1.0,100%,0%,5.0,2.30×10⁻²,147.0,39%,5%,0.0
tree_with_80_nodes-all,NF,4.8,0.1,10%,0%,5.0,2.31×10⁻²,42.0,15%,0%,60.9
tree_with_80_nodes-all,RW,4.8,0.3,30%,0%,5.0,2.31×10⁻²,118.2,26%,1%,46.1
tree_with_80_nodes-disabled,F,2.0,1.0,100%,0%,5.0,2.30×10⁻²,147.0,39%,5%,0.0
tree_with_80_nodes-disabled,NF,4.8,0.1,10%,0%,5.0,2.31×10⁻²,41.5,15%,0%,61.4
tree_with_80_nodes-disabled,RW,4.8,0.2,20%,0%,5.0,2.31×10⁻²,118.5,26%,0%,45.9
